feature,importance
v_max,0.18280435217847418
v_std,0.17612409562580655
v_min,0.15046612240474855
amount_sqrt,0.1201107030443845
amount_squared,0.10485664699453681
Amount,0.07380388776754104
log_amount,0.05295359689503485
amount_category,0.051691268652739916
V10,0.01572919328985738
V9,0.01185366572953523
V16,0.009814676859674413
V14,0.00849237101949247
V18,0.00814077841277776
V17,0.005889049604628845
V12,0.005389181741146664
v_interaction_2,0.0043469625977644085
V4,0.003645160738767419
v_mean,0.0020481318639741525
v_interaction_1,0.0018174099889576596
V15,0.0017249236114958585
